specimen,country,region,species,habit,habitat,general_habitat,ab_papillae_long_cells_stomatal,ab_papillae_long_cells_interstomatal,ab_prickle,ab_bimicro,ab_macro,ab_bilobate_intercostal,ab_ridged_saddle_intercostal,ab_smooth_saddle_intercostal,ab_vertically_elongated_intercostal,ab_bilobate_costal,ab_ridged_saddle_costal,ab_smooth_saddle_costal,ab_vertically_elongated_costal,ab_triangular_sub_cells,ab_dome_sub_cells,ab_parallel_sub_cells,ad_stomata,ad_stomata_freq,ad_papillae_long_cells_stomatal,ad_papillae_long_cells_interstomatal,ad_papillae_overarch,ad_papillae_bulliform,ad_prickle,ad_bimicro,ad_macro,ad_bilobate_intercostal,ad_ridged_saddle_intercostal,ad_smooth_saddle_intercostal,ad_vertically_elongated_intercostal,ad_bilobate_costal,ad_ridged_saddle_costal,ad_smooth_saddle_costal,ad_vertically_elongated_costal,ad_triangular_sub_cells,ad_dome_sub_cells,ad_parallel_sub_cells
g_calderoniana_londono_and_soderstrom_744,brazil,eastern_south_america,g_calderoniana,leaning_climbing,forest,general_forest,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,x,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1
g_tagoara_davidse_et_al_11420,brazil,eastern_south_america,g_tagoara,leaning_climbing,forest,general_forest,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,x,0,0,x,0,1,0,0,0,0,0,1,0,0,1,0,x,x,x
g_tagoara_clark_and_windisch_648,brazil,eastern_south_america,g_tagoara,leaning_climbing,forest,general_forest,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,x,0,0,x,0,1,0,0,1,0,0,1,1,0,1,0,x,x,x
g_tagoara_clark_et_al_670,brazil,eastern_south_america,g_tagoara,leaning_climbing,forest,general_forest,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,x,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
g_weberbaueri_calderon_and_soderstrom_2286,brazil,eastern_south_america,g_weberbaueri,leaning_climbing,forest,general_forest,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,x,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
g_weberbaueri_londono_625,brazil,eastern_south_america,g_weberbaueri,leaning_climbing,forest,general_forest,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,x,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
g_maclurei_mcclure_21476,nicaragua,central_america,g_maclurei,small_arching,forest,general_forest,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,x,0,0,x,0,0,0,0,1,0,0,0,1,0,0,0,x,x,x
g_maclurei_pohl_and_calderon_10103,costa rica,central_america,g_maclurei,small_arching,forest,general_forest,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,x,0,0,x,0,0,0,0,1,0,0,0,1,0,0,0,x,x,x
g_trinii_clark_and_olveira_913,brazil,eastern_south_america,g_trinii,small_arching,forest,general_forest,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,x,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0
g_trinii_tressens_et_al_2094,argentina,eastern_south_america,g_trinii,small_arching,forest,general_forest,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,x,0,0,x,0,1,0,0,1,0,0,1,1,0,1,0,x,x,x
g_trinii_londono_and_clark_701,brazil,eastern_south_america,g_trinii,small_arching,forest,general_forest,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,x,0,0,x,0,1,0,1,1,0,0,1,1,0,1,0,x,x,x
g_trinii_londono_and_clark_702,brazil,eastern_south_america,g_trinii,small_arching,forest,general_forest,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,x,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
g_trinii_londono_and_clark_699,brazil,eastern_south_america,g_trinii,small_arching,forest,general_forest,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,x,0,0,x,0,0,0,0,1,0,1,1,0,0,1,0,x,x,x
g_trinii_hatschbach_and_cervi_53238,brazil,eastern_south_america,g_trinii,small_arching,forest,general_forest,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,x,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0
unknown_g_aff_trinii_clark_and_windisch_872,brazil,eastern_south_america,g_aff_trinii,small_arching,forest,general_forest,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,x,x,x
g_superba_plowman_7313,peru,andes,g_superba,big_erect,river,general_forest,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,x,x,x
g_latifolia_davidse_27872,venezuela,eastern_south_america,g_latifolia,big_erect,river,general_forest,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,x,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
g_superba_londono_and_guedes_760,brazil,eastern_south_america,g_superba,big_erect,river,general_forest,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,x,x,x
unknown_g_aff_superba_killeen_2302,bolivia,eastern_south_america,g_aff_superba,big_erect,river,general_forest,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,x,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
g_macrospiculata_londono_and_kobayashi_569,colombia,andes,g_macrospiculata,leaning_climbing,river,general_forest,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,x,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
g_ciliata_davidse_et_al_16924,venezuela,eastern_south_america,g_ciliata,leaning_climbing,river,general_forest,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,x,0,0,0,0,1,0,0,0,1,0,0,0,x,x,x
g_ciliata_calderon_et_al_2910,brazil,eastern_south_america,c_ciliata,leaning_climbing,river,general_forest,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,x,x,x
g_glomerata_davidse_et_al_16925,guyana,eastern_south_america,g_glomerata,leaning_climbing,river,general_forest,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,x,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
g_glomerata_jenman_6352,guyana,eastern_south_america,g_glomerata,leaning_climbing,river,general_forest,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,x,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
g_longifolia_mcclure_21676,guatemala,central_america,g_longifolia,small_arching,river,general_forest,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,x,x,x
g_longifolia_lundell_3870,belize,central_america,g_longifolia,small_arching,river,general_forest,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,x,x,x
g_longifolia_clark_et_al_1151,mexico,mexico,g_longifolia,small_arching,river,general_forest,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,x,x,x
g_paniculata_pohl_and_gabel_13584,el salvador,central_america,g_paniculata,small_arching,savanna,savanna,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,x,x,x
g_paniculata_pohl_and_gabel_13838,honduras,central_america,g_paniculata,small_arching,savanna,savanna,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,x,x,x
g_paniculata_pohl_and_clark_13917,costa rica,central_america,g_paniculata,small_arching,savanna,savanna,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,x,x,x
g_paniculata_ clark_and_morel_757,brazil,eastern_south_america,g_paniculata,small_arching,savanna,savanna,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,x,x,x
g_paniculata_killeen_2763,bolivia,eastern_south_america,g_paniculata,small_arching,savanna,savanna,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,x,x,x
g_paniculata_clark_and_windisch_754,brazil,eastern_south_america,g_paniculata,small_arching,savanna,savanna,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,x,x,x
g_paniculata_irwin_and_soderstrom_5696,brazil,eastern_south_america,g_paniculata,small_arching,savanna,savanna,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,x,x,x
g_paniculata_irwin_and_soderstrom_6331,brazil,eastern_south_america,g_paniculata,small_arching,savanna,savanna,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,x,x,x
g_paniculata_filgueiras_et_al_3378,brazil,eastern_south_america,g_paniculata,small_arching,savanna,savanna,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,x,x,x
g_paniculata_ilitis_et_al_30569,venezuela,eastern_south_america,g_paniculata,small_arching,savanna,savanna,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,x,x,x
g_paniculata_mcclure_21251,venezuela,eastern_south_america,g_paniculata,small_arching,savanna,savanna,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,x,x,x
g_paniculata_clark_et_al_1522,venezuela,eastern_south_america,g_paniculata,small_arching,savanna,savanna,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,x,x,x
g_virgata_clark_and_morel_710,brazil,eastern_south_america,g_virgata,small_arching,savanna,savanna,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,x,x,x
g_virgata_londono_768,brazil,eastern_south_america,g_virgata,small_arching,savanna,savanna,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,x,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0
g_paniculata_clark_464,mexico,mexico,g_paniculata,small_arching,savanna,savanna,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,x,x,x
g_paniculata_liebmann_130,mexico,mexico,g_paniculata,small_arching,savanna,savanna,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,x,x,x
